,English_Name,Chinese_Name,nanxi_translation,rukun_translation,gpt4_1
28,Yunnan Kitchen,彩云之南,South of the Colorul Cloud,South Of Colorful Clouds,Colorful Clouds of the South
29,New China,新中国,New China,New China,New China
30,Yummee,渔米,Fishing Rice,Southern Rice,Fish Rice
31,Peking House,财富,Fortune,Wealth,Wealth
32,Dumpling Palace,南北和,South North Together,North And South,South North Harmony
33,Empire Garden Restaurant,帝苑大酒楼,Empire Garden Great Restaurant,Empire Garden Restaurant,Emperor Garden Grand Restaurant
34,Wing's Kitchen,小南阁,LIttle South Attic,Little South Pavilion,Little South Pavilion
35,Jade Garden,翠苑海鲜酒楼,Emerald Garden Seafood Restaurant,Royal Green Seafood Restaurant,Emerald Garden Seafood Restaurant
36,The Q,小绵羊火锅,Little Lamb Hotpot,Little Sheep Hot Pot,Little Wool Sheep Hot Pot
37,Clay Pot Cafe,旺角,Mong Kok,Good Fortune Corner,Prosperous Corner
38,Double Chin Modern Asian Restaurant,为食家,For Food Home,As A Foodie,Foodie's Home
39,Royal East,五月花,May flower,The May Flower,Mayflower
40,Ding Ho,顶好快餐,Top Good Fast Food,Top Fast Food,Top Good Fast Food
41,Liaoxiang Rice Noodle,撩香米线,Tempting Fragrant Rice Noodle,Sweet-smelling Rice Noodles,Enticing Fragrance Rice Noodles
42,Gene's Chinese Flatbread Cafe,老西安,Old Xi'an,Old Xi'an,Old Xi'an
43,Hong Kong Eatery,香港小食,Hong Kong Street Food,Hong Kong Snacks,Hong Kong Snacks
44,Wai Wai,威威,Wei Wei,Weiwei,Mighty Mighty
45,Silk Road Uyghur Cuisine,丝绸之路新疆美食,Silk Road Xinjiang Cuisine, Xinjiang Cuisine on Silk Road,Silk Road Xinjiang Cuisine
46,Peach Farm,小桃园,Little Peach Garden,Small Peach Garden,Little Peach Garden
47,Great Wok Restaurants,江东楼,River East House,East River Side Tower,River East House
48,Su Su Gourmet,素素小食,Su Su Street Food,Vegetarian Snacks,Su Su Snacks
49,Cilantro Chinese Cuisine,御堂春,Royal Hall Spring,Royal Palace Spring,Imperial Hall Spring
50,New Golden Gate Seafood,新金门海鲜酒家,New Golden Gate Seafood Restaurant,New Golden Gate Seafood Restaurant,New Golden Gate Seafood Restaurant
51,Jumbo Seafood,珍宝轩,Treasure Pavillion,Good Treasure House,Treasure Pavilion
52,Beijing Cafe,京味,Beijing Taste,Beijing Flavor,Beijing Flavor
53,Winsor Dim Sum Café,温莎点心美食,Windsor Dim Sum Cuisine,Windsor Dim Sum Food,Windsor Dim Sum Cuisine
54,Great Taste Bakery & Restaurant,美味轩,Tasty Pavillion,Delicious Restaurant,Delicious Pavilion
55,Xiang Yu China Bistro,湘遇,Hunan Meet,Meet In Hunan,Hunan Encounter
56,Young Kong,邕江,Yong River,Yong River,Yong River
57,Canton House,广东楼,Canton House,Guangdong Building,Guangdong House
58,Hei La Moon Restaurant,喜临门大酒楼,Joy Near Door Great Restaurant,Good Lucy Come Restaurant,Happiness Comes to the Door Grand Restaurant
59,Gaga Seafood Restaurant,嘉嘉海鲜菜馆,Gaga Seafood Restaurant,Jiajia Seafood Restaurant,Jia Jia Seafood Restaurant
60,New Ho Toy,好彩,Good Color,Good Colorfulness,Good Luck
61,Food Wall Chinese Restaurant,福城,Luck City,Good Fortune City,Fortune City
62,New Moon Villa Restaurant,新月宫海鲜酒家,New Moon Palace Seafood Restaurant,Crescent Palace Seafood Restaurant,New Moon Palace Seafood Restaurant
63,Lucky Cafe,陆记明炉烧腊,Lu's Open Oven Roasted Meat,Lu Ji Furnace Roasted Pork,Lu Ji's Bright Furnace Roast Meats
64,Xi’An Rougamo,姑娘手西安小吃,Girl Hand Xi'an Street Food,Girls' Handmade Xi'an Snacks,Maiden's Hand Xi'an Snacks
65,Chung Wah,中华,China,China,Chinese Cuisine
66,Mandarin Restaurant,华明,China Bright,China Shine,Splendid Brightness
67,Billy Tse,满福轩,Full Luck Pavillion,House With Good Fortune,Full Fortune Mansion
68,HaoShiGuang,好食光,Good Food Light,Good Food Light,Good Food Moment
69,Dragon Star Chinese Restaurant,龙星,Dragon Star,Dragon Star,Dragon Star
70,Hong Kong Harbor,海港楼,Harbor House,Harbor Building,Sea Harbor House
71,QingDao Garden,青岛园,QingDao Garden,Qingdao Garden,Qingdao Garden
72,Hong Kong Cafe,香港美食,Hong Kong Cuisine,Hong Kong Cuisine,Hong Kong Gourmet
73,Ten Second Yunnan Rice Noodles,十秒到云南米线,Ten Seconds Delivery Yunnan Rice Noodle,Ten Seconds to Yunnan Rice Noodles,Ten Seconds to Yunnan Rice Noodles
74,Spicy Hunan Kitchen,湘私馆,Hunan Private Restaurant,Hunan Private Restaurant,Hunan Private House
75,Friendship BBQ Boston,友情客串,Friendship Cameo,Friendly Guest Barbecue,Friendship Guest Appearance
76,Chinese Dragon,东方红,Eastern Red,Oriental Red,Oriental Red
77,Joyful Garden,聚福海鲜酒楼,Gather Luck Seafood Restaurant,Jufu Seafood Restaurant,Gathering Fortune Seafood Restaurant
78,Great Chef Chinese Food at Day Square,渪圖,Ru Picture,Rutu,Riverside Map
79,Wu Er by WOW Barbecue,无二烤肉,No Two BBQ,No Second Barbecue,Unique Barbecue
80,Our Zone,第五空间 家常川菜,Fifth Space Homemade Sichuan Cuisine,Fifth Space Homemade Sichuan Cuisine,Fifth Dimension Home-style Sichuan Cuisine
81,Zoe’s Chinese Restaurant,风味亭,Flavor Pavillion,Flavor Pavilion,Flavor Pavilion
82,Rose's Chinese Restaurant,花苑,Flower Garden,Flower Garden,Flower Garden
83,MDM Noodles,面对面,Face to Noodles,Face To Face,Face to Face
84,Dumpling Kitchen,心厨,Heart Kitchen,Heart Kitchen,Heart Kitchen
85,China Garden Restaurant,顿嘉,Dun Jia,Dunjia,Dun Jia
86,Chow N Joy,厨乐,Kitchen Joy,Kitchen Happiness,Kitchen Joy
87,Changsho,常熟,Always Familiar,Changshu,Everlasting Ripeness
88,China House,中国楼,China House,China Building,China House
89,Golden Place,锦煌,Splendor Bright,Silk Bright,Splendid Brocade
90,Asian Paradise,亚洲城,Asia City,Asia City,Asia City
91,Double Dragon Inn,双龙,Double Dragon,Double Dragons,Twin Dragons
92,Kung Fu Dumplings,功夫饺子,Kung Fu Dumplings,Kung Fu Dumplings,Kung Fu Dumplings
93,Panda Garden,熊家园,Bear Garden,Bear House,Bear Family Garden
94,Red Apple,红苹果,Red Apple,Red Apple,Red Apple
95,The East Asian Cuisine,龙,Dragon,Dragon,Dragon
96,Park's Asian Bistro & Sushi Bar,御膳房,Royal Kitchen,Imperial Dining Room,Imperial Kitchen
97,Panda Garden Chinese Restaurant,百里香,Hundred Miles Delicious,Long-Lasting Aroma,Hundred Miles Fragrance
98,West Lake Gourmet Chinese Restaurant,西湖,West Lake,West Lake,West Lake
99,New Fortune,鸿运,Good Fortune,Great Fortune,Grand Fortune
